"week"	"quarter"	"stage"	"source"	"count"	"investor_type_frmted"
38	3	"seed"	"marketing"	15	"Marketing"
38	3	"seed"	"referral_partners"	18	"Partner: Referral Partners"
39	4	"a"	"marketing"	1	"Marketing"
39	4	"a"	"referral_partners"	35	"Partner: Referral Partners"
39	4	"b"	"referral_partners"	33	"Partner: Referral Partners"
39	4	"c"	"referral_partners"	16	"Partner: Referral Partners"
39	4	"d"	"referral_partners"	10	"Partner: Referral Partners"
39	4	"seed"	"marketing"	25	"Marketing"
39	4	"seed"	"referral_partners"	20	"Partner: Referral Partners"
40	4	"a"	"marketing"	1	"Marketing"
40	4	"a"	"referral_partners"	51	"Partner: Referral Partners"
40	4	"b"	"referral_partners"	53	"Partner: Referral Partners"
40	4	"c"	"referral_partners"	24	"Partner: Referral Partners"
40	4	"d"	"referral_partners"	6	"Partner: Referral Partners"
40	4	"seed"	"marketing"	18	"Marketing"
40	4	"seed"	"referral_partners"	19	"Partner: Referral Partners"
41	4	"a"	"marketing"	3	"Marketing"
41	4	"a"	"referral_partners"	66	"Partner: Referral Partners"
41	4	"b"	"referral_partners"	60	"Partner: Referral Partners"
41	4	"c"	"referral_partners"	13	"Partner: Referral Partners"
41	4	"d"	"referral_partners"	7	"Partner: Referral Partners"
41	4	"seed"	"marketing"	20	"Marketing"
41	4	"seed"	"referral_partners"	19	"Partner: Referral Partners"
42	4	"a"	"referral_partners"	56	"Partner: Referral Partners"
42	4	"b"	"referral_partners"	41	"Partner: Referral Partners"
42	4	"c"	"referral_partners"	16	"Partner: Referral Partners"
42	4	"d"	"referral_partners"	9	"Partner: Referral Partners"
42	4	"seed"	"marketing"	17	"Marketing"
42	4	"seed"	"referral_partners"	33	"Partner: Referral Partners"
43	4	"a"	"referral_partners"	57	"Partner: Referral Partners"
43	4	"b"	"marketing"	2	"Marketing"
43	4	"b"	"referral_partners"	46	"Partner: Referral Partners"
43	4	"c"	"referral_partners"	14	"Partner: Referral Partners"
43	4	"d"	"referral_partners"	7	"Partner: Referral Partners"
43	4	"seed"	"marketing"	24	"Marketing"
43	4	"seed"	"referral_partners"	16	"Partner: Referral Partners"
44	4	"a"	"marketing"	1	"Marketing"
44	4	"a"	"referral_partners"	69	"Partner: Referral Partners"
44	4	"b"	"referral_partners"	47	"Partner: Referral Partners"
44	4	"c"	"referral_partners"	19	"Partner: Referral Partners"
44	4	"d"	"referral_partners"	11	"Partner: Referral Partners"
44	4	"seed"	"marketing"	25	"Marketing"
44	4	"seed"	"referral_partners"	26	"Partner: Referral Partners"
45	4	"a"	"referral_partners"	48	"Partner: Referral Partners"
45	4	"b"	"referral_partners"	43	"Partner: Referral Partners"
45	4	"c"	"referral_partners"	23	"Partner: Referral Partners"
45	4	"d"	"referral_partners"	8	"Partner: Referral Partners"
45	4	"seed"	"marketing"	30	"Marketing"
45	4	"seed"	"referral_partners"	22	"Partner: Referral Partners"
46	4	"a"	"marketing"	1	"Marketing"
46	4	"a"	"referral_partners"	52	"Partner: Referral Partners"
46	4	"b"	"referral_partners"	35	"Partner: Referral Partners"
46	4	"c"	"referral_partners"	20	"Partner: Referral Partners"
46	4	"d"	"referral_partners"	12	"Partner: Referral Partners"
46	4	"seed"	"marketing"	20	"Marketing"
46	4	"seed"	"referral_partners"	22	"Partner: Referral Partners"
47	4	"a"	"marketing"	1	"Marketing"
47	4	"a"	"referral_partners"	68	"Partner: Referral Partners"
47	4	"b"	"marketing"	1	"Marketing"
47	4	"b"	"referral_partners"	39	"Partner: Referral Partners"
47	4	"c"	"referral_partners"	19	"Partner: Referral Partners"
47	4	"d"	"referral_partners"	1	"Partner: Referral Partners"
